"baseMean","log2FoldChange","lfcSE","pvalue","padj","GeneID","DE"
7065.31763866899,-6.07548440429449,0.190097030265612,1.01460684339176e-224,1.95342255558215e-220,"gene:AT4G20830","Down Regulated"
5133.90400428399,-7.21736741642005,0.242274730209903,9.0254228387609e-196,8.68832329573318e-192,"gene:AT2G38470","Down Regulated"
6436.93305432651,-6.03485230806835,0.202780705065442,3.27067951082726e-195,2.09901308739857e-191,"gene:AT4G20835","Down Regulated"
4929.44029109503,-9.89198789022584,0.337815133363418,3.4264492511066e-190,1.64923568578889e-186,"gene:AT3G26830","Down Regulated"
2889.95604402003,-7.05098277189948,0.256660272407842,7.07199762494659e-167,2.72314340546193e-163,"gene:AT1G05680","Down Regulated"
5115.84185349117,-6.01251263981541,0.223070129773532,1.33326765221256e-160,4.27823368467474e-157,"gene:AT2G41105","Down Regulated"
3597.51632298917,-9.93118270507851,0.371510003030083,3.75227330332409e-159,1.03203597012713e-155,"gene:AT2G18193","Down Regulated"
3147.1229302583,-6.42819557636682,0.246820216726835,3.76071101275501e-150,9.05062114107152e-147,"gene:AT4G02380","Down Regulated"
3774.3637938668,-5.73185515731516,0.222123839552568,1.95184852816673e-147,4.175437745866e-144,"gene:AT1G19180","Down Regulated"
5461.11399321799,-6.33210455341926,0.245973927197126,9.46764693482784e-147,1.8228060643624e-143,"gene:AT2G47000","Down Regulated"
9320.02160115945,-5.82383461625682,0.234877934681725,2.55309004422375e-136,4.46860387467635e-133,"gene:AT2G41100","Down Regulated"
2261.31522603165,-9.34069718281297,0.383216948180073,1.10459869620025e-132,1.77223655816194e-129,"gene:AT1G72520","Down Regulated"
2230.09943205063,-7.14166254507086,0.298339660599551,2.18609722893514e-127,3.23760999605295e-124,"gene:AT1G02930","Down Regulated"
1954.3778764472,-7.64635630687695,0.324041092210556,5.51219153724102e-124,7.58044454760724e-121,"gene:AT3G63380","Down Regulated"
2507.66722736482,-6.77801272543801,0.289088705968488,3.04714729561731e-122,3.91111512550134e-119,"gene:AT1G80840","Down Regulated"
2255.28862168682,-6.00453217202729,0.259086438236425,2.02968714062608e-119,2.44234790740462e-116,"gene:AT3G22370","Down Regulated"
1711.12410356465,-7.87599284091121,0.342193255689795,3.66893625106993e-118,4.15517821422643e-115,"gene:AT4G37370","Down Regulated"
